Q1_ORDER1,Q1_DIVISIONAL_OFFICE,DIV_OFFICE_NAME
230000,230000,RO CHD
231100,231100,DO1 CHD
231102,231100,DO1 CHD
231110,231100,DO1 CHD
231200,231200,DO2 CHD
231202,231200,DO2 CHD
231203,231200,DO2 CHD
231290,231200,DO2 CHD
231291,231200,DO2 CHD
231292,231200,DO2 CHD
231300,231300,DO3 CHD
231301,231300,DO3 CHD
231303,231300,DO3 CHD
231304,231300,DO3 CHD
231400,231400,DO MHL
231401,231400,DO MHL
231402,231400,DO MHL
231491,231400,DO MHL
231492,231400,DO MHL
231493,231400,DO MHL
231494,231400,DO MHL
231495,231400,DO MHL
231496,231400,DO MHL
231497,231400,DO MHL
231498,231400,DO MHL
231499,231400,DO MHL
233100,233100,DO JLD
233102,233100,DO JLD
233105,233100,DO JLD
233106,233100,DO JLD
233108,233100,DO JLD
233190,233100,DO JLD
233191,233100,DO JLD
233192,233100,DO JLD
233193,233100,DO JLD
233194,233100,DO JLD
233200,233200,DO BTD
233202,233200,DO BTD
233203,233200,DO BTD
233207,233200,DO BTD
233291,233200,DO BTD
233292,233200,DO BTD
233293,233200,DO BTD
233300,233300,DO1 LDH
233308,233300,DO1 LDH
233390,233300,DO1 LDH
233400,233400,DO2 LDH
233406,233400,DO2 LDH
233407,233400,DO2 LDH
233490,233400,DO2 LDH
233491,233400,DO2 LDH
233500,233500,DO PTL
233502,233500,DO PTL
233503,233500,DO PTL
233508,233500,DO PTL
233590,233500,DO PTL
233591,233500,DO PTL
233592,233500,DO PTL
233598,233500,DO PTL
233599,233500,DO PTL
233600,233600,DO RJP
233603,233600,DO RJP
233605,233600,DO RJP
233606,233600,DO RJP
233693,233600,DO RJP
233695,233600,DO RJP
233700,233700,DO FER
233702,233700,DO FER
233703,233700,DO FER
233704,233700,DO FER
233705,233700,DO FER
233707,233700,DO FER
233790,233700,DO FER
233792,233700,DO FER
233793,233700,DO FER
233800,233800,DO PTK
233802,233800,DO PTK
233804,233800,DO PTK
233890,233800,DO PTK
233891,233800,DO PTK
233892,233800,DO PTK
233893,233800,DO PTK
233894,233800,DO PTK
233900,233900,DO3 LDH
233902,233900,DO3 LDH
233903,233900,DO3 LDH
233904,233900,DO3 LDH
233905,233900,DO3 LDH
233990,233900,DO3 LDH
234000,234000,DO1 AMT
234001,234000,DO1 AMT
235300,235300,DO2 AMT
235301,235300,DO2 AMT
235302,235300,DO2 AMT
235390,235300,DO2 AMT
235391,235300,DO2 AMT
235400,235400,DO HOS
235401,235400,DO HOS
235402,235400,DO HOS
235403,235400,DO HOS
235491,235400,DO HOS
